#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   1.92497210   0.00000000
  0.00000000   1.92497210   0.00000000
  0.00000000   0.35707485   0.00000000
 19.38505925   0.35707485   0.00000000
 19.38505925   5.75199845   0.00000000
 53.89499207   5.75199845   0.00000000
 53.89499207  12.64133379   0.00000000
243.62226794  12.64133379   0.00000000
243.62226794   3.47000000   0.00000000
261.94116547   3.47000000   0.00000000
261.94116547   2.07370574   0.00002376
271.94116547   2.07370574   0.00002376
